"ID","Station","Lat","Long"
1,323,"38 02 34.4","122 17 10.7"
2,340,"38 05 57.2","122 15 47.8"
3,342,"38 08 46.5","122 17 19.5"
4,343,"38 10 56.5","122 18 33.4"
5,344,"38 12 45.7","122 18 31.3"
6,345,"38 13 25.8","122 18 32.3"
7,346,"38 14 11.0","122 17 13.8"
8,405,"38 02 23.7","122 08 48.2"
9,411,"38 03 0.8","122 04 35.5"
10,418,"38 04 03.0","122 05 44.0"
11,501,"38 04 24.0","122 01 34.8"
12,504,"38 03 07.0","121 59 09.9"
13,508,"38 02 49.8","121 55 02.0"
14,513,"38 03 31.9","121 52 03.9"
15,519,"38 04 29.1","121 57 29.1"
16,520,"38 01 55.8","121 51 47.2"
17,602,"38 06 56.0","122 02 32.61"
18,606,"38 10 14.1","122 01 40.5"
19,609,"38 10 01.5","121 56 16.2"
20,610,"38 07 19.9","121 53 20.8"
21,703,"38 02 55.0","121 47 50.6"
22,704,"38 03 59.7","121 47 25.12"
23,705,"38 05 51.4","121 42 31.5"
24,706,"38 05 09.9","121 45 01.6"
25,707,"38 06 52.9","121 42 28.3"
26,711,"38 10 38.7","121 39 44.1"
27,716,"38 14 18.8","121 41 02.1"
28,718,"38 15 27.2","121 43 44.5"
29,719,"38 20 00.6","121 38 51.0"
30,720,"38 15 45.5","121 46 45.4"
31,723,"38 14 14.1","121 40 23.1"
32,724,"38 15 22.5","121 39 07.5"
33,726,"38 16 59.0","121 38 37.8"
34,801,"38 02 37.3","121 50 38.4"
35,804,"38 00 59.2 ","121 47 28.7"
36,809,"38 03 13.6","121 41 34.9"
37,812,"38 05 23.7","121 38 23.7"
38,815,"38 05 13.7 ","121 34 16.1"
39,901,"38 02 46.5","121 37 06.6"
40,902,"38 01 13.4","121 34 57.6"
41,906,"38 03 0.1","121 30 23.3"
42,910,"38 00 18.0","121 27 10.9"
43,912,"37 57 59.1","121 22 06.8"
44,914,"37 58 17.4","121 31 12.0"
45,915,"37 56 39.4","121 34 04.4"
46,918,"37 51 32.4","121 34 01.7"
47,919,"38 06 18.7","121 29 40.5"
